name,url,closing_date,fields
Investec Bursary South Africa 2025,https://www.zabursaries.co.za/commerce-bursaries-south-africa/investec-bursary/,30 September 2024.(Applications submitted after this date will not be accepted – please apply before the closing date to ensure your application is considered.),
ITHUBA Bursary South Africa 2025,https://www.zabursaries.co.za/commerce-bursaries-south-africa/ithuba-bursary/,30 November 2024.(Applications submitted after this date will not be accepted – please apply before the closing date to ensure your application is considered.),
JDK Benefit Trust Bursary South Africa 2025,https://www.zabursaries.co.za/commerce-bursaries-south-africa/jdk-benefit-trust-bursary/,29 November 2024 (at 10:00).(Applications submitted after this date will not be accepted – please apply before the closing date to ensure your application is considered.),
KN Inzuzo Trust Bursary South Africa 2025,https://www.zabursaries.co.za/commerce-bursaries-south-africa/kuehne-nagel-inzuzo-trust-bursary/,30 October 2024.(Applications submitted after this date will not be accepted – please apply before the closing date to ensure your application is considered.),
Moses Kotane Institute Bursary South Africa 2023,https://www.zabursaries.co.za/commerce-bursaries-south-africa/moses-kotane-institute-bursary/,28 February 2023.(Applications submitted after this date will not be accepted – please apply before the closing date to ensure your application is considered.),
Old Mutual Imfundo Trust Scholarship South Africa 2025,https://www.zabursaries.co.za/commerce-bursaries-south-africa/old-mutual-imfundo-trust-scholarship/,10 October 2024.(Applications submitted after this date will not be accepted – please apply before the closing date to ensure your application is considered.),
South African Property Owners Association (SAPOA) Bursary 2025,https://www.zabursaries.co.za/commerce-bursaries-south-africa/sapoa-bursary/,30 September 2024 (extension).(Applications submitted after this date will not be accepted – please apply before the closing date to ensure your application is considered.),
SARB (South African Reserve Bank) Bursary South Africa 2025,https://www.zabursaries.co.za/commerce-bursaries-south-africa/south-african-reserve-bank-bursary/,30 September 2024.(Applications submitted after this date will not be accepted – please apply before the closing date to ensure your application is considered.),
SARB Economics Bursary South Africa 2025,https://www.zabursaries.co.za/commerce-bursaries-south-africa/sarb-economics-bursary/,30 September 2024.(Applications submitted after this date will not be accepted – please apply before the closing date to ensure your application is considered.),
Stanlib Bursary South Africa 2021 – 2022,https://www.zabursaries.co.za/commerce-bursaries-south-africa/stanlib-bursary/,30 October 2017.(Applications for 2019 will open on 14 September 2018.)(Applications submitted after this date will not be accepted – please apply before the closing date to ensure your application is considered.),
TSIBA Business School Bursary South Africa 2022 – 2023,https://www.zabursaries.co.za/commerce-bursaries-south-africa/tsiba-business-school-bursary/,31 January 2022.(Applications submitted after this date will not be accepted – please apply before the closing date to ensure your application is considered.),
VKB Group Bursary South Africa 2025,https://www.zabursaries.co.za/commerce-bursaries-south-africa/vkb-group-bursary/,30 September 2024.(Applications submitted after this date will not be accepted – please apply before the closing date to ensure your application is considered.),
Volkswagen Community Trust Bursary South Africa 2021 – 2022,https://www.zabursaries.co.za/commerce-bursaries-south-africa/volkswagen-community-trust-bursary/,31 July annually.(Applications submitted after this date will not be accepted – please apply before the closing date to ensure your application is considered.)There are no bursary offerings until further notice.,
Voltex Bursary South Africa 2021 – 2022,https://www.zabursaries.co.za/commerce-bursaries-south-africa/voltex-bursary/,29 February 2020.(Applications submitted after this date will not be accepted – please apply before the closing date to ensure your application is considered.),
Academy of Digital Arts Bursary South Africa 2024,https://www.zabursaries.co.za/computer-science-it-bursaries-south-africa/academy-of-digital-arts-bursaries/,14 June 2024.(Applications submitted after this date will not be accepted – please apply before the closing date to ensure your application is considered.),
Advance Africa Scholarship 2024,https://www.zabursaries.co.za/computer-science-it-bursaries-south-africa/advance-africa-scholarship/,None.(Applications submitted after this date will not be accepted – please apply before the closing date to ensure your application is considered.),
Amazon Bursary South Africa 2025,https://www.zabursaries.co.za/computer-science-it-bursaries-south-africa/amazon-bursary/,15 September 2024.(Applications submitted after this date will not be accepted – please apply before the closing date to ensure your application is considered.),
BBD Bursary South Africa 2024 – 2025,https://www.zabursaries.co.za/computer-science-it-bursaries-south-africa/bbd-bursary/,Applications are currently OPEN. A closing date has not been disclosed – students are encouraged to apply ASAP.,
BET Software Bursary South Africa 2025,https://www.zabursaries.co.za/computer-science-it-bursaries-south-africa/bet-bursary/,31 October 2024.(Applications submitted after this date will not be accepted – please apply before the closing date to ensure your application is considered.),
BSG GradStar Bursary South Africa 2024,https://www.zabursaries.co.za/computer-science-it-bursaries-south-africa/bsg-gradstar-bursary/,26 February 2024.(Applications submitted after this date will not be accepted – please apply before the closing date to ensure your application is considered.),
Cisco Charitable Foundation Trust Bursary South Africa 2025,https://www.zabursaries.co.za/computer-science-it-bursaries-south-africa/cisco-charitable-foundation-trust-bursary/,30 September 2024.(Applications submitted after this date will not be accepted – please apply before the closing date to ensure your application is considered.),
CSG Bursary South Africa 2024,https://www.zabursaries.co.za/computer-science-it-bursaries-south-africa/csg-bursary/,30 December 2023.(Applications submitted after this date will not be accepted – please apply before the closing date to ensure your application is considered.),
Dalitso Bursary South Africa 2023,https://www.zabursaries.co.za/computer-science-it-bursaries-south-africa/dalitso-bursary/,Not confirmed.,
Dynamics Corporate Consulting Bursary South Africa 2023,https://www.zabursaries.co.za/computer-science-it-bursaries-south-africa/dynamics-corporate-consulting-bursary/,24 February 2023.(Applications submitted after this date will not be accepted – please apply before the closing date to ensure your application is considered.),
EasyPay Everywhere Bursary South Africa 2025,https://www.zabursaries.co.za/computer-science-it-bursaries-south-africa/easypay-everywhere-bursary/,30 November 2024.(Applications submitted after this date will not be accepted – please apply before the closing date to ensure your application is considered.),
Entersekt Bursary South Africa 2022 – 2023,https://www.zabursaries.co.za/computer-science-it-bursaries-south-africa/entersekt-bursary/,31 January 2022.(Applications submitted after these dates will not be accepted – please apply before the closing date to ensure your application is considered.),
Exness Fintech Scholarship South Africa 2024,https://www.zabursaries.co.za/computer-science-it-bursaries-south-africa/exness-fintech-scholarship/,30 January 2024.(Applications submitted after this date will not be accepted – please apply before the closing date to ensure your application is considered.),
Forge Academy Bursary South Africa 2023,https://www.zabursaries.co.za/computer-science-it-bursaries-south-africa/forge-academy-bursary/,16 June 2023.(Applications submitted after this date will not be accepted – please apply before the closing date to ensure your application is considered.),
Games Global Bursary South Africa 2024,https://www.zabursaries.co.za/computer-science-it-bursaries-south-africa/games-global-bursary/,To be confirmed.(Applications submitted after this date will not be accepted – please apply before the closing date to ensure your application is considered.),
Generation Google Scholarship: Women in Computer Science South Africa 2024 – 2025,https://www.zabursaries.co.za/computer-science-it-bursaries-south-africa/generation-google-scholarship/,23 April 2024 (or when 500 eligible application responses are received).(Applications submitted after this date will not be accepted – please apply before the closing date to ensure your application is considered.),
Generation Google Scholarship: Women in Gaming South Africa 2022 – 2023,https://www.zabursaries.co.za/computer-science-it-bursaries-south-africa/generation-google-scholarship-women-in-gaming/,10 December 2021.(Applications submitted after this date will not be accepted – please apply before the closing date to ensure your application is considered.),
GirlCodeZA Bootcamp Programme South Africa 2023,https://www.zabursaries.co.za/computer-science-it-bursaries-south-africa/girlcodeza-scholarship/,24 April 2023 (at 11:59 pm).(Applications submitted after this date will not be accepted – please apply before the closing date to ensure your application is considered.),
Computer Science and IT Bursaries South Africa 2025,https://www.zabursaries.co.za/computer-science-it-bursaries-south-africa/hewlett-packard-enterprise-bursary/,,
HP Inc Bursary South Africa 2025,https://www.zabursaries.co.za/computer-science-it-bursaries-south-africa/hp-inc-bursary/,30 November 2024.(Applications submitted after this date will not be accepted – please apply before the closing date to ensure your application is considered.),
IITPSA Bursary South Africa 2025,https://www.zabursaries.co.za/computer-science-it-bursaries-south-africa/iitpsa-bursary/,30 September 2024.(Applications submitted after this date will not be accepted – please apply before the closing date to ensure your application is considered.),
Investec Scholarship South Africa 2025,https://www.zabursaries.co.za/computer-science-it-bursaries-south-africa/investec-scholarship/,30 September 2024.(Applications submitted after this date will not be accepted – please apply before the closing date to ensure your application is considered.),
Internet Service Providers’ Association (ISPA) Bursary South Africa 2025,https://www.zabursaries.co.za/computer-science-it-bursaries-south-africa/internet-service-providers-association-ispa-bursary/,30 September 2024 (at 18:00).(Applications submitted after this date will not be accepted – please apply before the closing date to ensure your application is considered.),
Khulisa Academy Bursary South Africa 2022 – 2023,https://www.zabursaries.co.za/computer-science-it-bursaries-south-africa/khulisa-academy-bursary/,30 October 2022.(Applications submitted after these dates will not be accepted – please apply before the closing date to ensure your application is considered.),
KnowBe4 Women of Colour in Cybersecurity Scholarship South Africa 2024,https://www.zabursaries.co.za/computer-science-it-bursaries-south-africa/knowbe4-women-of-colour-in-cybersecurity-scholarship/,18 September 2023 (at 23:59).(Applications submitted after this date will not be accepted – please apply before the closing date to ensure your application is considered.),
Korbicom Education Trust Bursary South Africa 2024,https://www.zabursaries.co.za/computer-science-it-bursaries-south-africa/korbicom-education-trust-bursary/,10 November 2023.(Applications submitted after this date will not be accepted – please apply before the closing date to ensure your application is considered.),
Metacom Foundation Bursary South Africa 2025,https://www.zabursaries.co.za/computer-science-it-bursaries-south-africa/metacom-foundation-bursary/,4 November 2024.(Applications submitted after this date will not be accepted – please apply before the closing date to ensure your application is considered.),
Mondia Media Bursary South Africa 2021 – 2022,https://www.zabursaries.co.za/computer-science-it-bursaries-south-africa/mondia-media-bursary/,15 March 2020.(Applications submitted after this date will not be accepted – please apply before the closing date to ensure your application is considered.),
Motus Mobility Solutions Bursary South Africa 2024,https://www.zabursaries.co.za/computer-science-it-bursaries-south-africa/motus-mobility-solutions-bursary/,20 October 2023.(Applications submitted after this date will not be accepted – please apply before the closing date to ensure your application is considered.),
Mukuru Bursary South Africa 2023,https://www.zabursaries.co.za/computer-science-it-bursaries-south-africa/mukuru-bursary-for-foreign-nationals/,19 December 2022.(Applications submitted after these dates will not be accepted – please apply before the closing date to ensure your application is considered.),
MultiChoice Bursary South Africa 2024,https://www.zabursaries.co.za/computer-science-it-bursaries-south-africa/multichoice-sa-bursary/,27 January 2024.(Applications submitted after this date will not be accepted – please apply before the closing date to ensure your application is considered.),
Natasha Joubert Collective x ASUS Coding Bursary South Africa 2024,https://www.zabursaries.co.za/computer-science-it-bursaries-south-africa/natasha-joubert-collective-x-asus-coding-bursary/,19 April 2024.(Applications submitted after this date will not be accepted – please apply before the closing date to ensure your application is considered.),
Old Mutual Bursary South Africa 2022 – 2023,https://www.zabursaries.co.za/computer-science-it-bursaries-south-africa/old-mutual-bursary/,To be confirmed – applications are currently OPEN.(Applications submitted after these dates will not be accepted – please apply before the closing date to ensure your application is considered.),
Openserve Bursary South Africa 2022 – 2023,https://www.zabursaries.co.za/computer-science-it-bursaries-south-africa/openserve-bursary/,15 August 2022 (extension).(Applications submitted after this date will not be accepted – please apply before the closing date to ensure your application is considered.),
Pretune SIM Card Bursary South Africa 2021 – 2022,https://www.zabursaries.co.za/computer-science-it-bursaries-south-africa/pretune-sim-card-bursary/,28 February annually.(Applications submitted after this date will not be accepted – please apply before the closing date to ensure your application is considered.),
Sage Bursary South Africa 2025,https://www.zabursaries.co.za/computer-science-it-bursaries-south-africa/sage-bursary/,30 November 2024.(Applications submitted after this date will not be accepted – please apply before the closing date to ensure your application is considered.),
Sanlam IT Bursary South Africa 2024,https://www.zabursaries.co.za/computer-science-it-bursaries-south-africa/sanlam-it-bursary/,8 December 2023.(Applications submitted after this date will not be accepted – please apply before the closing date to ensure your application is considered.),
SASSETA Bursary South Africa 2023,https://www.zabursaries.co.za/computer-science-it-bursaries-south-africa/sasseta-bursary/,27 January 2023 (at 23:59:59 – Mid-night).(Applications submitted after this date will not be accepted – please apply before the closing date to ensure your application is considered.),
Signa Bursary South Africa 2021 – 2022,https://www.zabursaries.co.za/computer-science-it-bursaries-south-africa/signa-bursary/,31 August 2021 (at 23:59).(Applications submitted after this date will not be accepted – please apply before the closing date to ensure your application is considered.),
Sisekelo Institute of Business and Technology Scholarship South Africa 2024,https://www.zabursaries.co.za/computer-science-it-bursaries-south-africa/sisekelo-institute-of-business-and-technology-scholarship/,Not confirmed but space is limited so apply ASAP.,
SITA Bursary South Africa 2024,https://www.zabursaries.co.za/computer-science-it-bursaries-south-africa/sita-bursary/,16 February 2024.(Applications submitted after this date will not be accepted – please apply before the closing date to ensure your application is considered.),
TBWA Bursary South Africa 2024,https://www.zabursaries.co.za/computer-science-it-bursaries-south-africa/tbwa-bursary/,15 October 2023.(Applications submitted after this date will not be accepted – please apply before the closing date to ensure your application is considered.),
